date,tournament,season,road_team,road_runs,home_team,home_runs,round,tier,neutral
1976-02-02,Olympics,1976,FRG,5,SUI,1,,1.5,True
1976-02-02,Olympics,1976,POL,7,ROU,4,,1.5,True
1976-02-02,Olympics,1976,TCH,14,BUL,1,,1.5,True
1976-02-03,Olympics,1976,FIN,11,JPN,2,,1.5,True
1976-02-03,Olympics,1976,URS,16,AUT,3,,1.5,True
1976-02-03,Olympics,1976,USA,8,YUG,4,,1.5,True
1976-02-05,Olympics,1976,AUT,6,BUL,2,,1.5,True
1976-02-05,Olympics,1976,ROU,3,JPN,1,,1.5,True
1976-02-05,Olympics,1976,YUG,6,SUI,4,,1.5,True
1976-02-06,Olympics,1976,FRG,7,POL,4,final,1.5,True
1976-02-06,Olympics,1976,TCH,2,FIN,1,final,1.5,True
1976-02-06,Olympics,1976,URS,6,USA,2,final,1.5,True
1976-02-07,Olympics,1976,AUT,3,JPN,2,,1.5,True
1976-02-07,Olympics,1976,SUI,8,BUL,3,,1.5,True
1976-02-07,Olympics,1976,YUG,4,ROU,3,,1.5,True
1976-02-08,Olympics,1976,FIN,5,FRG,3,final,1.5,True
1976-02-08,Olympics,1976,TCH,5,USA,0,final,1.5,True
1976-02-08,Olympics,1976,URS,16,POL,1,final,1.5,True
1976-02-09,Olympics,1976,AUT,3,ROU,4,,1.5,True
1976-02-09,Olympics,1976,JPN,6,SUI,4,,1.5,True
1976-02-09,Olympics,1976,YUG,8,BUL,5,,1.5,True
1976-02-10,Olympics,1976,POL,1,TCH,0,final,1.5,True
1976-02-10,Olympics,1976,URS,7,FRG,3,final,1.5,True
1976-02-10,Olympics,1976,USA,5,FIN,4,final,1.5,True
1976-02-11,Olympics,1976,AUT,3,SUI,5,,1.5,True
1976-02-11,Olympics,1976,JPN,4,YUG,3,,1.5,True
1976-02-11,Olympics,1976,ROU,9,BUL,4,,1.5,True
1976-02-12,Olympics,1976,TCH,7,FRG,4,final,1.5,True
1976-02-12,Olympics,1976,URS,7,FIN,2,final,1.5,True
1976-02-12,Olympics,1976,USA,7,POL,2,final,1.5,True
1976-02-13,Olympics,1976,AUT,3,YUG,1,,1.5,True
1976-02-13,Olympics,1976,JPN,7,BUL,5,,1.5,True
1976-02-13,Olympics,1976,ROU,4,SUI,3,,1.5,True
1976-02-14,Olympics,1976,FIN,7,POL,1,final,1.5,True
